A1,A1_TYPE,DELTA1,C1,DELTA2,M1,RELEASE,PATTERN_TYPE,ORIGINAL,MODIFIED_METHOD,ADDED_METHOD,P3_TYPE
Priority,Optional,dPriorityGUI,ReminderFilterArrayAdapter,dGUI,GUI,v4,P2,0,2,0,none
Priority,Optional,dPriorityGUI,EditReminderActivity,dEditGUI,Edit,v4,"P1, P3",1,1,0,import
Priority,Optional,dPriorityGUI,ExternalAddReminderActivity,dCreateGUI,Create,v4,"P1, P3",2,2,0,import
Priority,Optional,dPriorityGUI,ReminderArrayAdapter,dGUI,GUI,v4,"P1, P3",1,1,0,import
Priority,Optional,dPriorityGUI,ReminderListFragment,dGUI,GUI,v4,"P1, P3",1,2,1,"import, method"
Priority,Optional,dPriorityGUI,ReminderActivity,dGUI,GUI,v4,"P1, P3",3,3,2,"import, method, field"
Priority,Optional,dPriorityGUI,ReminderAddActivity,dCreateGUI,Create,v4,"P1, P3",6,6,2,"import, method, field"
Priority,Optional,dPriorityModel,DBConstants,dModel,Manage Reminder,v4,"P1, P3",1,1,0,field
Priority,Optional,dPriorityModel,DefaultReminderDAO,dModel,Manage Reminder,v4,"P1, P3",1,1,0,import
Priority,Optional,dPriorityModel,Reminder,dModel,Manage Reminder,v4,"P1, P3",1,1,2,"field, method"
Priority,Optional,dPriorityReminder,ReminderMainActivity,dReminder,Manage Reminder,v4,"P2, P3",0,1,0,import
Google Calendar,Optional,dGoogleCalendarGUI,ReminderActivity,dGUI,GUI,v4,"P1, P3",2,2,0,"import, field"
Static Category,Alternative,dStaticCategoryController,Controller,dController,Manage Reminder,v4,P3,0,0,5,"import, method"
Static Category,Alternative,dStaticCategoryGUI,EditReminderActivity,dEditGUI,Edit,v4,"P1, P3",2,2,2,"import, method"
Static Category,Alternative,dStaticCategoryGUI,AddReminderActivity,dCreateGUI,Create,v4,"P1, P3",1,1,1,"import, method"
Static Category,Alternative,dStaticCategoryGUI,ExternalAddReminderActivity,dCreateGUI,Create,v4,"P1, P3",2,2,3,"import, method"
Static Category,Alternative,dStaticCategoryGUI,ReminderListFragment,dGUI,GUI,v4,"P1, P3",1,2,1,"import, method"
