"A1","DELTA1","C1","RELEASE","PATTERN_TYPE"
"Category","dCategoryBase","IEmailDAO","v0.1.3","P3"
"Category","dCategoryBase","SystemFacade","v0.1.3","P2"
"Category","dCategoryBase","SystemFacade","v0.1.3","P3"
"Address Book","dAddressBook","EmailClient","v0.1.3","P1"
"Address Book","dAddressBook","EmailClient","v0.1.3","P3"
"Address Book","dAddressBookFacade","SystemFacade","v0.1.3","P3"
"Tag","dTagBase","IEmailDAO","v0.1.3","P3"
"Advanced Search","dAdvancedSearch","EmailDAO","v0.1.3","P3"
"Search","dSearchFacade","SystemFacade","v0.1.3","P3"
"Simple Search","dSimpleSearch","EmailDAO","v0.1.3","P3"
"Security","dSecurityBaseMail","EmailReceiver","v0.1.3","P3"
"Security","dSecurityBaseMail","EmailSender","v0.1.3","P3"
"Security","dSecurityBaseMail","IEmailClient","v0.1.3","P3"
"Security","dSecurityBaseMail","EmailClient","v0.1.3","P3"
"Decrypt","dSecurityDecrypt","EmailReceiver","v0.1.3","P1"
"Decrypt","dSecurityDecrypt","EmailReceiver","v0.1.3","P3"
"Encrypt","dSecurityEncrypt","EmailSender","v0.1.3","P1"
"Encrypt","dSecurityEncrypt","EmailSender","v0.1.3","P3"
"Security","dSecurityFacade","SystemFacade","v0.1.3","P3"
"Sign","dSecuritySign","EmailSender","v0.1.3","P1"
"Sign","dSecuritySign","EmailSender","v0.1.3","P3"
"Verify","dSecurityVerify","EmailReceiver","v0.1.3","P1"
"Verify","dSecurityVerify","EmailReceiver","v0.1.3","P3"
"Address Book","dAddressBook","EmailClient","v0.1.2","P1"
"Address Book","dAddressBook","EmailClient","v0.1.2","P3"
"Address Book","dAddressBookFacade","SystemFacade","v0.1.2","P3"
"Tag","dTagBase","IEmailDAO","v0.1.2","P3"
"Advanced Search","dAdvancedSearch","IEmailDAO","v0.1.2","P3"
"Search","dSearchFacade","SystemFacade","v0.1.2","P3"
"Simple Search","dSimpleSearch","IEmailDAO","v0.1.2","P3"
"Security","dSecurityBaseMail","EmailReceiver","v0.1.2","P3"
"Security","dSecurityBaseMail","EmailSender","v0.1.2","P3"
"Security","dSecurityBaseMail","IEmailClient","v0.1.2","P3"
"Security","dSecurityBaseMail","EmailClient","v0.1.2","P3"
"Decrypt","dSecurityDecrypt","EmailReceiver","v0.1.2","P1"
"Decrypt","dSecurityDecrypt","EmailReceiver","v0.1.2","P3"
"Encrypt","dSecurityEncrypt","EmailSender","v0.1.2","P1"
"Encrypt","dSecurityEncrypt","EmailSender","v0.1.2","P3"
"Security","dSecurityFacade","SystemFacade","v0.1.2","P3"
"Sign","dSecuritySign","EmailSender","v0.1.2","P3"
"Verify","dSecurityVerify","EmailReceiver","v0.1.2","P3"
"Address Book","dAddressBook","EmailClient","v0.1.1","P2"
"Address Book","dAddressBook","EmailClient","v0.1.1","P3"
"Address Book","dAddressBookFacade","SystemFacade","v0.1.1","P3"
"Advanced Search","dAdvancedSearch","EmailDAO","v0.1.1","P3"
"Search","dSearchFacade","SystemFacade","v0.1.1","P3"
"Simple Search","dSimpleSearch","EmailDAO","v0.1.1","P3"
"Address Book","dAddressBook","EmailClient","v0.1.0","P2"
"Address Book","dAddressBook","EmailClient","v0.1.0","P3"
"Address Book","dAddressBookFacade","SystemFacade","v0.1.0","P3"
"Tag","dTagBase","IEmailDAO","v0.1.0","P3"
