"A1","DELTA1","C1","RELEASE","PATTERN_TYPE"
"Priority","dPriorityGUI","ReminderFilterArrayAdapter","v4","P2"
"Priority","dPriorityGUI","EditReminderActivity","v4","P1"
"Priority","dPriorityGUI","EditReminderActivity","v4","P3"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v4","P1"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v4","P3"
"Priority","dPriorityGUI","ReminderArrayAdapter","v4","P1"
"Priority","dPriorityGUI","ReminderArrayAdapter","v4","P3"
"Priority","dPriorityGUI","ReminderListFragment","v4","P1"
"Priority","dPriorityGUI","ReminderListFragment","v4","P3"
"Priority","dPriorityGUI","ReminderActivity","v4","P1"
"Priority","dPriorityGUI","ReminderActivity","v4","P3"
"Priority","dPriorityGUI","ReminderAddActivity","v4","P1"
"Priority","dPriorityGUI","ReminderAddActivity","v4","P3"
"Priority","dPriorityModel","DBConstants","v4","P1"
"Priority","dPriorityModel","DBConstants","v4","P3"
"Priority","dPriorityModel","DefaultReminderDAO","v4","P1"
"Priority","dPriorityModel","DefaultReminderDAO","v4","P3"
"Priority","dPriorityModel","Reminder","v4","P1"
"Priority","dPriorityModel","Reminder","v4","P3"
"Priority","dPriorityReminder","ReminderMainActivity","v4","P2"
"Priority","dPriorityReminder","ReminderMainActivity","v4","P3"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","P1"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","P3"
"Static Category","dStaticCategoryController","Controller","v4","P3"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P1"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P2"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","P3"
"Static Category","dStaticCategoryGUI","ReminderFilterArrayAdapter","v4","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v4","P2"
"Static Category","dStaticCategoryPersistence","GenericDAO","v4","P3"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v4","P2"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v4","P3"
"Static Category","dStaticCategoryModel","DBConstants","v4","P1"
"Static Category","dStaticCategoryModel","DBConstants","v4","P3"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P1"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P2"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","P3"
"Static Category","dStaticCategoryModel","DBFactory","v4","P3"
"Static Category","dStaticCategoryModel","Reminder","v4","P1"
"Static Category","dStaticCategoryModel","Reminder","v4","P3"
"Static Category","dStaticCategoryModel","ReminderDAO","v4","P3"
"Static Category","dStaticCategoryModel","DefaultDBFactory","v4","P3"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v4","P1"
"Static Category","dStaticCategoryModel","DefaultReminderDAO","v4","P3"
"Static Category","dStaticCategoryModel","DBHelper","v4","P2"
"Search","dSearchController","ReminderFilter","v4","P3"
"Search","dSearchGUI","ReminderListFragment","v4","P3"
"Search","dSearchReminder","ReminderMainActivity","v4","P2"
