"A1","DELTA1","C1","RELEASE","P3_TYPE"
"Priority","dPriorityGUI","EditReminderActivity","v4","import"
"Priority","dPriorityGUI","ExternalAddReminderActivity","v4","import"
"Priority","dPriorityGUI","ReminderArrayAdapter","v4","import"
"Priority","dPriorityGUI","ReminderListFragment","v4","import"
"Priority","dPriorityGUI","ReminderListFragment","v4","method"
"Priority","dPriorityGUI","ReminderActivity","v4","import"
"Priority","dPriorityGUI","ReminderActivity","v4","method"
"Priority","dPriorityGUI","ReminderActivity","v4","field"
"Priority","dPriorityGUI","ReminderAddActivity","v4","import"
"Priority","dPriorityGUI","ReminderAddActivity","v4","method"
"Priority","dPriorityGUI","ReminderAddActivity","v4","field"
"Priority","dPriorityModel","DBConstants","v4","field"
"Priority","dPriorityModel","DefaultReminderDAO","v4","import"
"Priority","dPriorityModel","Reminder","v4","field"
"Priority","dPriorityModel","Reminder","v4","method"
"Priority","dPriorityReminder","ReminderMainActivity","v4","import"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","import"
"Google Calendar","dGoogleCalendarGUI","ReminderActivity","v4","field"
"Static Category","dStaticCategoryController","Controller","v4","import"
"Static Category","dStaticCategoryController","Controller","v4","method"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","import"
"Static Category","dStaticCategoryGUI","EditReminderActivity","v4","method"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","import"
"Static Category","dStaticCategoryGUI","AddReminderActivity","v4","method"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","import"
"Static Category","dStaticCategoryGUI","ExternalAddReminderActivity","v4","method"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","import"
"Static Category","dStaticCategoryGUI","ReminderListFragment","v4","method"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","import"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","method"
"Static Category","dStaticCategoryGUI","ReminderActivity","v4","field"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","import"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","method"
"Static Category","dStaticCategoryGUI","ReminderAddActivity","v4","field"
"Static Category","dStaticCategoryPersistence","GenericDAO","v4","import"
"Static Category","dStaticCategoryReminder","ReminderMainActivity","v4","import"
"Static Category","dStaticCategoryModel","DBConstants","v4","field"
"Static Category","dStaticCategoryModel","ReminderContentProvider","v4","import"
